imageid,productid,left_border,right_border,top_border,bottom_border,real_width,real_height
1099449703,1374208473,0,499,109,389,499,280
1262368519,3906641574,0,499,0,499,499,499
1119406047,1998118683,47,445,125,369,398,244
958568149,228489676,117,379,161,343,262,182
918176269,7024270,60,438,0,499,378,499
1250963870,3836819774,95,466,161,341,371,180
1035366596,685394556,68,431,0,499,363,499
1075711263,1351973164,165,339,7,446,174,439
1297548747,4135713648,0,499,62,436,499,374
1020180937,520654104,36,463,10,489,427,479
996083499,304796064,56,441,11,481,385,470
1193286557,3140780337,4,495,72,427,491,355
1306908044,4167096010,106,388,51,463,282,412
987546922,294400184,48,406,52,463,358,411
1311957580,4188997825,0,499,0,499,499,499
1302249709,4153278741,21,486,48,467,465,419
1313553411,4199252808,23,479,108,404,456,296
1008647940,439082536,73,425,0,499,352,499
1298539925,4139339679,107,408,136,329,301,193
1258497138,3885602307,8,494,164,455,486,291
1045460597,867035696,162,335,13,461,173,448
949320924,212253909,19,452,93,429,433,336
1201854406,3249440007,161,348,88,417,187,329
1262964313,3910958591,0,499,62,436,499,374
1255980682,3872875890,31,469,108,373,438,265
1189935462,3084360721,122,365,115,381,243,266
1220135374,3531134323,62,436,0,499,374,499
1263996928,3918736217,0,499,64,435,499,371
1174591492,2940640107,174,311,143,360,137,217
1079975268,1435015861,62,436,0,499,374,499
1181068665,2999922891,13,499,0,499,486,499
1204459140,3290544478,62,436,0,499,374,499
672416683,7665837,64,438,1,499,374,498
1222747689,1705771902,175,323,141,358,148,217
1134649554,2288639478,2,497,16,484,495,468
875615357,71303328,68,430,0,499,362,499
1234822681,3691244753,41,457,42,458,416,416
1277776075,4026079490,33,474,49,464,441,415
1201827479,3249398724,42,442,94,415,400,321
1314568001,4202304967,0,499,0,499,499,499
1247402552,3809429963,162,336,106,393,174,287
1243659375,3775275361,0,499,157,436,499,279
1144107477,236811683,118,390,5,494,272,489
1317937380,4215696444,11,488,27,442,477,415
1135956846,2309242793,120,378,0,499,258,499
1197762715,3209560974,151,347,100,399,196,299
1308895289,4177866962,214,275,30,439,61,409
1250254874,3831235744,64,443,54,426,379,372
1289408822,4084137430,200,299,149,352,99,203
986817227,280156394,149,337,32,466,188,434
1255708822,2089576227,83,415,0,499,332,499
1257599509,3881714380,0,251,176,499,251,323
969933145,258077692,146,346,92,391,200,299
1260381772,3893245010,0,499,0,499,499,499
1231018781,3643911002,141,360,50,387,219,337
971026501,260839979,0,499,75,423,499,348
1275080194,4003843863,40,456,47,457,416,410
1066398329,889280954,42,448,113,383,406,270
1283645199,4061595861,57,452,157,432,395,275
1325226110,4240793788,0,460,0,478,460,478
1279146088,4037581364,16,472,92,404,456,312
1301533560,4150997052,6,492,69,488,486,419
1188538904,3067204217,130,369,130,369,239,239
